,spot_1,spot_2,spot_3,spot_4,spot_5,spot_6,spot_7,spot_8,spot_9,spot_10,spot_11,spot_12,spot_13,spot_14,spot_15,spot_16,spot_17,spot_18,spot_19,spot_20,spot_21,spot_22,spot_23,spot_24,spot_25,spot_26,spot_27,spot_28,spot_29,spot_30
ABCD2,1.301986261,1.464932375,2.766918636,0,0,0,1.301986261,3.802252892,2.337320517,0,0,2.703858724,0,2.337320517,2.337320517,0,1.238926349,1.464932375,0,1.238926349,1.301986261,1.301986261,1.464932375,0,0,0,0,3.576246866,0,0
ABCE1,4.522103322,0,2.335258152,1.453242721,2.335258152,4.592501857,2.18684517,0,0,2.335258152,2.876343699,0,1.453242721,4.259187884,3.640087891,2.18684517,0,3.377172453,0,2.18684517,0,3.350712279,0,0,2.335258152,3.139259137,0,0,5.063188869,2.61710983
ABCF1,4.149141255,3.01944902,2.202993519,8.472777422,0,1.745846943,2.898557228,3.295999647,3.741098188,2.846914599,5.189702504,3.55284543,1.451467892,1.894505106,4.701802774,0.793432976,4.244052327,2.291140802,4.242541822,0,0,5.261892472,2.243390362,4.237288537,5.14194759,5.075574502,6.038918839,2.524789975,3.62697466,6.499873168
ABCF2,1.718438978,0,4.280296739,1.718438978,0,0,0,0,0,0,0,1.718438978,0,0,2.56185776,2.56185776,0,0,0,0,0,2.497134975,0,0,0,0,2.56185776,0,0,5.058992735
ABCF3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCG1,0,1.202427021,0,0,1.202427021,1.202427021,0,0,0,1.202427021,0,1.202427021,1.793953043,0,0,0,1.084091671,0,0,1.084091671,2.286518692,0,0,0,0,0,1.084091671,2.996380064,0,0
ABHD12,2.373881558,4.426790644,0,4.26535867,0,3.005882559,0,1.349851911,0,2.373881558,0,1.349851911,2.212449584,0,4.586331142,3.167314534,2.052909086,2.212449584,2.052909086,0,0,0,0.793432976,0,0.793432976,0,2.052909086,0,2.373881558,3.005882559
ABHD13,4.278206736,3.751863065,1.718438978,5.212795609,2.559767758,2.878789469,2.183881936,0,0,2.353440872,0.952413967,1.718438978,8.943617094,0,1.926375502,0,4.127748887,1.926375502,1.567981129,2.559767758,2.559767758,1.718438978,4.91320863,2.353440872,2.559767758,3.512181725,3.921422001,4.845419088,0.952413967,3.64481448
ABHD14B,0,2.183881936,0,3.064543479,0,1.791134954,3.97501689,0,1.791134954,1.791134954,2.424774467,0,2.37814939,4.855678433,0,1.791134954,2.424774467,2.424774467,3.064543479,0,1.791134954,3.203470463,3.064543479,0,2.424774467,0,0,3.064543479,0,2.56983095
ABHD17A,0,1.464932375,1.464932375,1.224603307,0,0,1.971556899,1.464932375,0,0,2.424774467,4.675415623,0,0,1.224603307,0,4.888304123,3.889706842,1.224603307,3.210483248,0,2.424774467,1.464932375,0,2.424774467,1.224603307,0,1.238926349,3.196160206,0
ABHD2,0,1.567981129,0,1.567981129,0,0.952413967,0,0,0,0,0.952413967,0,0,0,2.44606771,0,1.567981129,2.44606771,1.567981129,0,0,0.778695996,0,0,0,0.952413967,1.567981129,0,0.952413967,0.778695996
ABHD3,0,1.451467892,2.610294416,2.365427684,4.611948081,0,0,2.610294416,2.365427684,0,0,0,3.697988289,1.732019974,2.246520397,0,1.451467892,0,2.610294416,0,0,0,0,4.34231439,0,0,0,0,1.732019974,0
ABI1,2.542349923,4.221876041,5.584397501,5.385721076,4.067757476,2.832867082,3.424821338,9.257997898,6.606428643,5.224664133,2.291140802,4.278611643,4.521295512,1.726332711,0.952409493,6.64520183,3.01944902,4.017473513,9.199751791,0,1.202427021,7.665005464,6.150225068,5.403126457,4.032806941,5.221092127,1.567981129,1.202427021,1.449957386,3.049327809
ABI2,0,2.551086219,0,2.551086219,3.43687542,1.439315501,0,0,0,3.20565118,0,0,4.959511266,0,1.753860087,1.439315501,2.551086219,3.20565118,4.234101552,1.683015333,0,0,1.439315501,4.888666513,1.439315501,0,2.551086219,3.20565118,0,1.439315501
ABI3,2.476096955,1.451467892,2.476096955,1.224603307,2.476096955,2.166015457,0,1.349851911,0,0,1.372582481,3.825948867,1.451467892,0,1.224603307,0.793432976,2.676071199,0,1.224603307,0,0,0,0.793432976,0,0.793432976,5.073282744,0,0,2.597185789,0.793432976
ABL2,5.856321656,3.166667757,0,0.952409493,0,2.6896539,3.642063392,0,0,4.119077249,0,0,0,0,6.808731149,5.856321656,0,0,0,2.6896539,0,2.6896539,0,0,0.952409493,3.642063392,0,0,5.856321656,0
ABLIM1,2.19199224,4.551192573,2.525708293,1.567981129,4.249975992,7.625763126,3.762691852,2.057983752,6.426424756,4.774346398,4.907141177,7.064349853,0,5.447084659,0,2.584567929,7.827276484,3.981913484,4.551192573,7.773349103,7.176800374,2.836679748,5.043408967,1.732019974,5.511133509,2.19199224,4.710056552,2.19199224,10.72029956,3.363263926
ABR,1.301986261,0,1.301986261,2.028423449,0,0.793432976,1.301986261,3.687172428,4.309676426,0,1.972355909,1.349851911,0,2.337320517,6.811811676,2.765788884,0,2.44606771,0,0,3.27434217,3.27434217,0.793432976,1.972355909,0.793432976,0,2.028423449,4.365743966,0,0.793432976
ABRACL,7.936561465,7.64195988,2.437616039,6.688963778,7.605263978,5.700051619,8.459761996,6.441747526,2.47133552,3.534583531,7.293826954,2.437616039,2.246520397,6.838896743,8.60467617,5.16098942,3.30075983,6.419529523,3.020461904,5.990413729,5.77209535,8.827914738,7.79635962,4.417483256,9.907447894,10.52905386,6.032554936,5.329183278,5.565997599,6.523908577
ABT1,3.519036178,0,1.572888443,3.896373235,1.572888443,0,3.317730996,1.946147735,0,2.944471703,3.870077468,0,0,5.228838149,6.342440945,0,0,4.369997442,0,0,0,1.163867109,0,3.678167709,4.890619439,3.317730996,4.47093771,2.524789975,3.655949706,1.163867109
ABTB1,2.446035243,1.567981129,0,1.567981129,0,0,2.446035243,3.795887154,0,0,2.446035243,1.349851911,0,0,0,0,2.6520728,0,1.567981129,1.084091671,1.084091671,0,0,2.446035243,2.446035243,2.446035243,5.098108042,0,0,0
ACAA1,0,0,0,0,0,0.793432976,0,0,0,0,0,0,1.793953043,0,0,0.793432976,0,0,0,0,0,0,0.793432976,0,0.793432976,0,0,1.793953043,0,0.793432976
ACAA2,3.767571858,1.202427021,1.718438978,5.802646159,1.202427021,4.401516684,0.952409493,1.349851911,0,2.154836513,0.952413967,4.27071791,3.247195763,0,4.084207181,2.842565855,2.762646639,1.453242721,1.678554968,1.084091671,2.286518692,1.718438978,0.793432976,0,1.745842468,5.632511307,1.084091671,2.996380064,2.630968935,3.965114675
ACADM,0,0,0,0,0,0,1.971556899,0,0,0,0,1.971556899,0,0,0,0,0,0,0,1.971556899,0,0,0,0,0,0,0,0,1.971556899,0
ACADVL,2.04913288,5.297206764,0,2.556952485,3.338268087,5.028213206,1.971556899,3.609540873,6.967397625,10.82910332,10.16717593,7.543628482,6.540327233,7.909810276,0,5.203963122,8.376051728,10.9363178,10.51825677,5.174783086,5.147819517,11.00037832,7.827229655,11.38348944,6.600955872,3.775465591,1.520210854,7.417856419,8.098657664,3.07697944
ACAP1,3.248133997,2.190486118,1.301986261,3.410447325,3.896385467,5.701712591,3.248133997,4.004131487,1.838401715,2.190486118,5.975035569,2.190486118,1.453242721,0,1.453242721,0,4.028887834,3.511226472,2.190486118,1.957204605,1.301986261,3.359970013,2.057983752,3.90335234,1.946147735,1.946147735,5.842533203,0,2.190486118,1.453242721
ACAP2,3.844336184,6.413825569,1.301986261,6.316551805,2.365427684,6.269385345,5.481406112,4.26994685,4.656568485,4.84716204,4.523579792,0,8.979731544,2.082868054,3.951124122,6.579296277,4.967325962,2.291140802,1.958783068,3.271170468,2.386077932,2.080682258,6.568129102,5.145961788,3.622781116,8.725913036,6.125991454,1.793953043,4.191222058,2.409136058
ACAT1,0,0,0,0,0,0,0,1.883208162,2.109581509,1.883208162,0,2.109581509,1.883208162,0,0,0,0,0,1.883208162,0,2.109581509,2.661904159,1.883208162,0,0,0,0,0,2.109581509,0.778695996
ACAT2,1.572888443,0,1.572888443,0,1.572888443,1.782343849,3.276133492,0,5.385715002,1.572888443,3.276133492,2.109581509,0,1.572888443,0,1.782343849,1.793963536,0,3.276133492,1.793963536,7.179678538,0,1.782343849,0,3.355232292,0,1.793963536,3.276133492,2.109581509,5.058477342
ACBD3,3.351119141,0,1.301986261,2.212449584,0,3.164863551,1.301986261,0,2.291140802,0,3.243554769,0,2.212449584,0,2.212449584,2.04913288,0,4.503590386,0,0,1.301986261,2.46585337,0,2.291140802,0,3.001546847,0,0,0.952413967,3.376316693
ACBD5,0,0,2.525708293,0,0,4.719598136,4.471443402,2.187078796,7.101213701,2.284364606,3.932941357,0,0,2.284364606,0,3.077797581,0,2.291140802,0,4.71278709,2.284364606,0.778695996,0.793432976,2.291140802,3.319141269,1.641800555,2.187078796,0,1.641800555,3.856493578
ACBD6,0,0,0,0,2.057983752,2.057983752,0,3.407835663,0,0,0,1.349851911,0,0,0,0,0,2.057983752,0,0,0,2.836679748,2.057983752,0,0,0,2.057983752,0,0,0.778695996
ACER3,0,0,0,0,0,0,0,0,0,0,1.923929732,0,0,1.923929732,0,0,0,1.923929732,0,0,0,0,0,0,0,0,0,0,1.923929732,0
ACIN1,0,8.30297846,1.930916272,6.324082632,3.988900024,4.846420795,4.158635695,7.677782513,2.790447043,0,6.709380843,3.32140881,1.924451223,8.466495814,2.028423449,2.724349248,6.943559478,6.772360527,4.295659183,5.678846549,3.451127127,2.836679748,6.865201054,6.453383289,5.452027302,1.995004067,9.36167798,3.959339721,7.622510672,6.230723299
ACLY,0,0,0,0,2.057983752,2.851416728,0,2.057983752,1.449957386,0,0,0,0,0,0,0.793432976,1.520210854,2.057983752,1.449957386,1.520210854,1.520210854,4.671808247,4.301374114,0,2.243390362,0,3.578194606,0,1.449957386,1.957300085
ACO2,1.572888443,0,1.572888443,3.749393282,1.572888443,0,0,3.564679561,0,3.926329315,2.424774467,3.564679561,2.353440872,5.519736066,3.749393282,0,3.649377774,4.639602117,1.224603307,0,0,4.639602117,2.353440872,4.085460846,3.99766291,3.439430957,4.878230847,2.524789975,2.956623281,0
ACOT13,3.712155387,4.299932987,4.327865412,0,2.329026162,3.298525385,5.896037324,3.829355898,3.778983548,1.883208162,4.275173897,1.985980398,3.999259213,0,2.56185776,5.860383145,4.31500656,0,3.333165548,1.985980398,1.766007652,5.0991732,4.515639883,1.946147735,4.578579456,1.946147735,6.837031658,1.985980398,1.449957386,3.744332095
ACOT8,2.04913288,2.231203644,2.231203644,0,0,0,0,2.231203644,0,0,0,2.231203644,0,0,0,2.04913288,0,2.231203644,0,0,0,0,2.231203644,0,0,2.04913288,0,0,0,0
ACOT9,7.056257322,2.052909086,7.056257322,5.627485865,3.551277542,1.182474334,2.673569521,4.81060222,1.920170311,4.83897681,0,8.991984838,0,7.911234861,1.37158326,1.182474334,3.846872622,2.711821338,3.973079397,1.793963536,3.095949797,8.915667427,3.102644646,1.732019974,6.047116349,6.061793697,3.846872622,0,3.652190285,6.058668956
ACOX1,0,1.629892482,0,2.524789975,0,1.629892482,0,0,0,0,2.424774467,0,1.629892482,0,2.524789975,1.629892482,2.424774467,2.424774467,0,0,0,2.424774467,0,0,2.424774467,0,2.524789975,2.524789975,0,0
ACP1,4.683344999,4.007319277,5.101647175,6.198331175,2.19199224,0,0,7.198408178,2.291140802,5.239563545,7.894257329,4.996598466,4.779272209,6.97285632,3.706978417,0,10.23836061,10.39950304,4.288849384,3.712203094,3.712203094,9.679884524,7.12968128,7.756256204,5.11514356,9.055758122,6.403455289,4.220415689,1.678554968,6.636230054
ACP2,2.874874704,2.226832853,2.874874704,6.99791275,3.938316127,3.244377674,4.045530708,0,4.156562637,4.316432889,0,0,1.453242721,5.59085625,2.405652213,1.791134954,0,1.453242721,2.226832853,0,3.093121215,2.080682258,0,0,4.752130788,0.952409493,0,0,0,6.249906523
ACP5,3.03788805,2.653894912,0,3.113513922,3.040828736,4.859858628,0.952409493,3.981989044,1.838401715,5.932549782,3.48020227,3.301207902,3.334676054,1.894505106,3.113513922,5.053519103,6.535065708,0,4.044312592,1.084091671,2.286518692,3.875737244,3.898839214,0,2.968040545,7.793202528,2.922493386,1.202427021,3.802904985,5.90266524
ACSF3,2.373881558,2.373881558,0,0.952409493,0,0,0.952409493,0,0,3.32629105,0,1.700988052,0,0,3.32629105,2.373881558,1.700988052,0,0,1.700988052,0,0,0,0,0.952409493,0.952409493,0,1.700988052,2.373881558,0
ACSL1,5.545541238,2.210473692,5.546133533,5.955352694,2.865330455,0,2.673569521,0,11.99635573,1.37158326,2.291140802,3.828020488,4.735589691,0,1.37158326,0,2.210473692,2.291140802,2.204594674,5.050824292,3.411567771,5.225019913,2.204594674,2.291140802,6.101886227,1.37158326,2.525115998,0,4.314176183,1.718438978
ACSL3,5.762182066,0,0,1.926375502,0,1.926375502,2.740264408,2.740264408,0,2.702439444,2.740264408,0,7.650732603,0,1.926375502,0,0,4.628814946,0,3.021917658,0,1.163867109,0,5.442703852,2.740264408,2.740264408,5.762182066,2.702439444,0,3.090242611
ACSL4,2.04913288,7.468868021,5.255607439,6.620085342,4.971745008,8.01424632,6.200174867,2.39290579,14.10387334,7.026546189,6.579719113,1.202427021,11.12162671,1.791134954,5.052104213,11.31098164,9.220533407,1.453242721,11.09695958,3.324691167,9.665795644,6.773589802,7.525583142,3.903272181,10.09744694,5.647994372,3.406382844,8.479323104,4.367111171,8.737688411
ACSL5,0,1.202427021,0,2.365427684,5.250870038,1.202427021,0,0,2.365427684,1.202427021,2.424774467,1.202427021,0,0,0,0,2.424774467,2.424774467,1.683015333,1.683015333,1.202427021,3.203470463,0,1.683015333,2.424774467,0,0,1.202427021,0,0.778695996
ACSL6,0,0,0,0.952409493,0,0,0.952409493,0,0,0.952409493,0,0,0,0,0.952409493,0,0,0,0,0,0,0,0,0,0.952409493,0.952409493,0,0,0,0
ACSS2,0,0,0,0,2.679506829,0,0,0,0,0,0,0,0,0,0,0,0,0,2.679506829,2.679506829,0,0,0,2.679506829,0,0,0,0,0,0
ACTA2,0,1.202427021,0,0,1.202427021,1.995859996,0,0,0,1.202427021,0,1.202427021,0,0,0,0.793432976,0,0,0,0,1.202427021,0,0.793432976,0,0.793432976,0,0,1.202427021,0,0.793432976
ACTB,26.3110437,26.61462392,18.92048483,26.07273901,26.59093069,25.80369074,21.95925655,25.91289303,28.45279638,29.62920796,25.09667478,27.64451245,25.65397225,26.41993455,26.83727165,20.58459443,27.72873308,26.27936157,29.88101244,19.39751846,29.70392809,30.99615599,27.00671592,20.35292472,23.33276829,25.7366924,22.4726169,27.15610863,25.6099056,27.42743274
ACTG1,18.96049319,16.88305439,11.33322935,20.64720753,16.60083979,17.65500301,15.07493914,17.33569989,16.92959743,17.42240523,16.0649295,23.15271873,16.7854519,20.69342802,17.69775831,11.99867338,16.67692702,12.50927745,19.824411,16.81956038,15.7897946,17.58015453,10.51526614,12.0616376,16.81821969,15.53342339,14.98297192,12.5593871,21.31767178,17.74641344
ACTG2,1.766007652,0,1.766007652,0,0,1.182474334,1.766007652,0,0,0,0,0,0,0,0,1.182474334,0,0,0,0,1.766007652,1.766007652,1.182474334,0,1.182474334,0,0,0,0,1.182474334
ACTL6A,7.039348925,0,4.593313682,1.718438978,1.572888443,0,3.748021504,2.446035243,0,1.572888443,5.12600045,1.718438978,0,1.572888443,0,0,0,2.679965207,0,0,1.301986261,3.020425239,0,2.446035243,4.018923686,5.12600045,2.446035243,0,0,1.718438978
ACTN1,0,4.283787394,0,7.341941414,8.587768471,6.598005635,1.37158326,1.726332711,7.944927587,2.574010281,5.968853148,2.928759732,5.007735875,1.726332711,4.97651373,1.629892482,6.052516246,5.943849015,6.310024406,4.265603723,2.286518692,3.954986094,1.449957386,5.472652853,2.821540646,6.61578157,2.922493386,1.202427021,4.967822985,2.705071499
ACTN4,1.301986261,3.864332378,1.301986261,2.520390621,2.296351249,6.254036904,2.254395754,3.233060073,1.449957386,5.131968904,2.327245593,3.64620316,1.883208162,0,0.952409493,1.630440062,3.088191983,0,4.901146677,1.520210854,5.118548364,5.799018919,4.96360561,0,4.032806941,3.279655086,3.088191983,2.296351249,3.77720298,2.794307171
ACTR10,1.718438978,5.760591558,3.183371353,9.721076578,1.838401715,0,0,1.464932375,4.442782439,0,1.838401715,5.787752077,0,2.727678054,3.706978417,0,5.084937812,1.464932375,5.974214151,0,2.604380724,1.718438978,1.464932375,0,2.727678054,1.678554968,5.434806293,2.028423449,4.282935692,4.446117033
ACTR1A,2.04913288,1.202427021,0,2.405652213,1.202427021,4.401516684,0.952409493,0,1.449957386,2.154836513,0.952413967,1.202427021,1.453242721,0,2.405652213,2.842565855,0,1.453242721,1.449957386,0,1.202427021,1.449957386,2.243390362,0,3.195799854,3.953956339,0,1.202427021,2.402371353,2.246675696
ACTR1B,4.164474221,3.106720646,3.649355251,1.718438978,3.586169026,3.446387708,4.237170197,2.446035243,1.791134954,3.446387708,2.446035243,4.612618081,1.451467892,1.791134954,0,3.722051226,4.621310513,0,0,1.238926349,5.37730398,1.718438978,1.930916272,4.376951515,4.376951515,2.446035243,2.446035243,4.825095375,0,5.440490204
ACTR2,10.47883286,16.94652035,12.1599614,15.01418869,13.57257942,17.11748357,9.45469938,19.3692544,13.90280877,15.3585215,14.52464855,11.33699194,18.74980591,9.200524046,6.10930532,8.764346512,14.17369035,15.53883026,15.32788742,12.86901871,12.13345935,16.23892913,13.27575617,18.25455388,12.39315527,12.05310067,11.88218111,9.347782632,9.568273073,9.70551754
ACTR3,14.1345802,5.968857831,13.31506558,9.833294173,10.25961538,9.173230123,8.389989569,14.45926555,12.04214057,13.36526211,3.243554769,13.69671942,9.082341613,14.85119035,4.97651373,8.33898969,7.338663022,7.089523912,8.886349848,7.776395116,13.57984851,14.45822498,10.89265041,8.564371464,9.338820265,10.90208178,7.776395116,3.866416388,9.171964306,15.98951245
ACTR6,5.067465922,0,0,4.103388302,0,1.926375502,0.952409493,1.726332711,0,0.952409493,0,1.726332711,4.451491501,3.458352685,4.103388302,2.542349923,1.224603307,3.652708213,1.224603307,2.525115998,0,2.505028707,0,1.732019974,0.952409493,6.445695434,2.525115998,0,2.956623281,2.705071499
ACYP2,2.525115998,0,0,0,0,0.793432976,0,0,1.449957386,0,0,0,2.525115998,0,0,0.793432976,0,0,1.449957386,2.525115998,0,1.449957386,2.243390362,0,2.243390362,0,2.525115998,0,1.449957386,0.793432976
ADA,3.815140532,6.16712676,1.766007652,7.262196677,2.365427684,2.824274889,5.321472849,0,7.863706838,4.57723444,5.219909398,0,7.999064264,0,1.37158326,3.231607214,3.983244823,6.783760023,3.48815144,1.957204605,1.766007652,4.850045073,3.102644646,8.740964627,4.474227906,5.062516695,1.567981129,3.20565118,3.561970866,2.346341443
ADAM10,1.301986261,2.832319502,3.727452637,2.878784995,6.247241685,7.780479969,4.225952653,1.815089112,4.823942962,7.210716829,4.458658919,4.989073031,8.612148299,0,2.878784995,5.237833192,6.565025518,4.628814946,2.204594674,3.491767753,6.450090512,3.506580935,8.165976256,7.481346692,6.764944876,2.791720124,6.493000014,6.33033284,6.015462203,5.534316212
ADAM17,0,3.429259873,0,5.377811662,1.202427021,6.434627042,0,0,0,3.587169579,2.123350185,1.202427021,1.926375502,6.343595385,3.150978809,1.182474334,2.308694978,1.926375502,3.45143616,1.084091671,2.286518692,0,1.182474334,1.732019974,3.409307187,3.347953493,1.084091671,1.202427021,5.079973466,7.720425248
ADAM28,7.103076651,2.373881558,2.525708293,3.318633393,4.012041495,2.980278146,3.826923595,2.21482765,6.304691841,4.013959983,2.329026162,2.21482765,0,2.21482765,10.32542783,7.896509627,4.00758113,4.66089536,4.811527687,6.395568797,0,5.851630206,2.243390362,1.683015333,6.40917708,10.26265614,2.329026162,0,7.689239082,0.793432976
ADAM8,1.978389099,3.19787361,9.586803653,6.071362077,4.307415261,5.665989231,3.843995105,4.493502579,4.854734455,5.608232295,3.281440129,1.978389099,9.113737279,0,4.503380949,5.732744389,5.575562258,1.453242721,7.740038675,2.525708293,0,1.883208162,5.867089096,4.963735288,5.527731615,5.980941294,6.250448163,1.793953043,2.630968935,3.083682782
ADAM9,2.18684517,1.202427021,0,5.281946674,1.202427021,5.806537132,3.826923595,0,0,2.842505445,0,1.202427021,4.211217985,0,7.468791844,2.18684517,1.224603307,2.417264942,1.224603307,2.18684517,1.202427021,2.18684517,0,0,1.640078425,5.051526902,0,2.996380064,3.411448477,2.417264942
ADAMDEC1,4.503505097,4.051551167,1.978389099,6.885815514,3.913889215,4.051551167,1.640078425,0,1.449957386,3.575578541,0,3.913889215,4.641167049,3.567182122,3.318633393,2.116051051,1.678554968,0,6.695694476,2.525115998,1.935500116,2.228653383,5.017139508,0,3.090035811,5.297022491,2.525115998,5.502682238,3.128512354,0.778695996
ADAMTSL4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADAP1,0,0,0,1.224603307,0,0,0,0,1.449957386,0,0,0,0,0,1.224603307,0,2.308694978,0,2.674560693,1.084091671,1.084091671,2.613824495,1.449957386,0,1.449957386,1.224603307,1.084091671,0,2.674560693,1.163867109
ADAP2,0,1.451467892,0,3.818670404,2.365427684,4.65772044,0,0,2.365427684,1.894505106,2.411044744,0,2.904710612,1.894505106,1.453242721,0.793432976,2.971678746,1.453242721,0,1.520210854,1.520210854,1.608941567,0.793432976,0,0.793432976,2.411044744,1.520210854,0,2.411044744,5.750122369
ADAR,5.341568305,2.653894912,5.341568305,8.650623305,5.140743147,3.449102717,3.002650377,1.883208162,3.81538507,5.610933118,2.679965207,4.159792348,4.787918774,1.572888443,4.566756643,0.793432976,5.935590341,4.133207928,5.494269978,2.32301802,4.336759576,8.26571252,4.126598524,0,4.768688297,5.79347913,1.084091671,2.44135337,3.611061816,5.128981784
ADCY7,1.572888443,0,1.572888443,6.43893526,4.438218898,3.199089663,2.120362085,1.726332711,2.865330455,3.693250528,0.952413967,1.726332711,1.453242721,3.299221154,3.573604805,0.793432976,1.084091671,3.179575432,0,1.084091671,1.084091671,1.726332711,0.793432976,0,4.486683504,4.799108763,1.084091671,0,0.952413967,2.246675696
ADD1,1.946147735,0,0,0,0,0,1.946147735,5.022332358,1.449957386,0,1.946147735,3.076184622,0,1.726332711,0,0,1.084091671,1.726332711,1.449957386,1.084091671,1.084091671,3.176290097,1.449957386,1.946147735,3.396105122,3.672480447,3.030239407,0,1.449957386,0
ADD3,1.301986261,6.179442834,9.210236677,5.734980266,0,4.615409843,5.277003151,6.696244566,3.24109234,3.68564006,1.641800555,3.292503723,0,3.68564006,3.786461068,5.535467048,4.797723247,1.942651811,8.131210623,3.977678727,4.613332069,2.751943647,4.575083532,5.861208717,2.63243172,2.866403862,6.134977701,0,4.316361248,7.429972155
ADH5,1.572888443,1.567981129,4.183182859,2.520390621,3.630872195,2.057983752,0.952409493,4.668278168,0,4.419803042,0,0,0,3.467393549,0.952409493,0,1.567981129,2.057983752,4.178275545,0,0,2.057983752,2.057983752,2.610294416,2.525297936,0.952409493,3.62596488,0,0,1.894505106
ADI1,5.768006075,3.429259873,4.341788906,3.179242345,6.970433095,2.993561974,5.512505935,0,6.010053829,8.221299354,5.193735956,3.971327483,2.702439444,5.59085625,0.952409493,1.791134954,3.850991636,5.127213911,6.445751728,1.426217169,7.188740632,3.874731853,2.876174555,2.702439444,10.05307981,5.147527124,0,8.100045122,1.449957386,6.786929295
ADIPOR1,8.480166619,0,5.496522195,5.455449922,10.43697339,7.777801921,7.448348899,2.21482765,7.935546185,3.162718214,3.701608643,6.409363583,0,4.005962603,6.801295395,6.40521944,4.478314747,4.66089536,4.716379975,8.399355597,5.2424098,11.55437046,3.080397448,3.266422588,4.451980708,10.41873477,4.478314747,0,5.806184292,7.025529757
ADIPOR2,3.623129327,4.8864592,3.623129327,1.567981129,2.775315464,5.064325014,4.819202373,0,2.768961489,2.775315464,3.721375455,1.202427021,2.116051051,1.572888443,0,2.909484027,1.567981129,0,4.336942617,0,6.021629393,2.050240884,0.793432976,0,2.366321419,0.952413967,1.567981129,3.971388509,0.952413967,3.562394464
ADK,1.718438978,2.082868054,1.718438978,1.718438978,2.057983752,2.851416728,0,4.140851806,4.081937418,2.854820986,1.972355909,3.828020488,2.854820986,2.082868054,0,2.765788884,1.084091671,2.057983752,0,1.084091671,5.166029089,5.748778639,7.789105768,4.827176895,0.793432976,0,5.996896409,0,2.109581509,2.511871954
