"","Cell","Cell_type"
"C_423","C_423","T cell"
"C_411","C_411","Monocyte"
"C_226","C_226","T cell"
"C_416","C_416","T cell"
"C_211","C_211","T cell"
"C_16","C_16","Monocyte"
"C_274","C_274","Monocyte"
"C_207","C_207","B cell"
"C_492","C_492","B cell"
"C_390","C_390","T cell"
"C_73","C_73","Monocyte"
"C_52","C_52","Monocyte"
"C_192","C_192","Monocyte"
"C_444","C_444","B cell"
"C_229","C_229","Monocyte"
"C_68","C_68","Monocyte"
"C_194","C_194","T cell"
"C_256","C_256","Monocyte"
"C_275","C_275","Monocyte"
"C_187","C_187","Monocyte"
"C_55","C_55","Monocyte"
"C_29","C_29","T cell"
"C_300","C_300","Monocyte"
"C_337","C_337","Monocyte"
"C_295","C_295","Monocyte"
"C_81","C_81","Monocyte"
"C_67","C_67","T cell"
"C_118","C_118","Monocyte"
"C_83","C_83","T cell"
"C_19","C_19","Monocyte"
"C_281","C_281","T cell"
"C_8","C_8","Monocyte"
"C_221","C_221","T cell"
"C_475","C_475","Monocyte"
"C_379","C_379","Monocyte"
"C_128","C_128","T cell"
"C_389","C_389","Monocyte"
"C_435","C_435","Monocyte"
"C_268","C_268","B cell"
"C_196","C_196","T cell"
"C_399","C_399","T cell"
"C_264","C_264","Monocyte"
"C_488","C_488","T cell"
"C_58","C_58","Monocyte"
"C_105","C_105","B cell"
"C_376","C_376","T cell"
"C_176","C_176","Monocyte"
"C_327","C_327","Monocyte"
"C_44","C_44","B cell"
"C_336","C_336","T cell"
"C_115","C_115","B cell"
"C_249","C_249","T cell"
"C_96","C_96","Monocyte"
"C_388","C_388","Monocyte"
"C_190","C_190","Monocyte"
"C_175","C_175","Monocyte"
"C_184","C_184","T cell"
"C_254","C_254","Dendritic cell"
"C_198","C_198","T cell"
"C_487","C_487","Monocyte"
"C_486","C_486","T cell"
"C_155","C_155","T cell"
"C_464","C_464","Monocyte"
"C_205","C_205","Dendritic cell"
"C_215","C_215","B cell"
"C_452","C_452","B cell"
"C_15","C_15","T cell"
"C_326","C_326","Monocyte"
"C_271","C_271","T cell"
"C_74","C_74","Monocyte"
"C_26","C_26","B cell"
"C_152","C_152","Monocyte"
"C_380","C_380","T cell"
"C_182","C_182","T cell"
"C_69","C_69","Monocyte"
"C_292","C_292","Monocyte"
"C_34","C_34","Monocyte"
"C_195","C_195","T cell"
"C_164","C_164","Monocyte"
"C_39","C_39","Monocyte"
"C_168","C_168","Monocyte"
"C_269","C_269","T cell"
"C_257","C_257","Monocyte"
"C_50","C_50","Dendritic cell"
"C_304","C_304","Monocyte"
"C_313","C_313","T cell"
"C_439","C_439","Monocyte"
"C_363","C_363","Monocyte"
"C_90","C_90","T cell"
"C_54","C_54","B cell"
"C_289","C_289","Monocyte"
